date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality,visitors,cost,profit_margin,margin_percent,demand_ratio,inventory_pressure,competitor_gap,discounted_price,revenue,conversion_rate,price_demand_ratio,stock_remaining,traffic_intensity,day_of_week,month,is_weekend
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,279,20.15,13.350000000000001,0.3985074626865672,0.4551971326164875,0.5497835497835498,3.8099999999999987,26.8,3403.6,0.4551971326164875,0.26171875,104,0.8976519080291142,5,1,1
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,379,38.28,24.729999999999997,0.39247738454213615,0.39577836411609496,0.7352941176470589,-3.1499999999999986,50.408,7561.2,0.39577836411609496,0.4172847682119205,54,1.2193909431649974,5,1,1
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,207,21.54,6.449999999999999,0.23043944265809216,0.3140096618357488,0.6372549019607843,-3.330000000000002,25.191,1637.415,0.3140096618357488,0.4240909090909091,37,0.6659998027312782,5,1,1
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,125,16.37,16.349999999999998,0.4996943765281173,0.488,0.1300639658848614,-2.020000000000003,29.448,1796.328,0.488,0.5277419354838709,408,0.40217379391985403,5,1,1
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08,34.56,0.4693101575230853,0.08235294117647059,0.08433734939759036,4.689999999999998,73.64,1030.96,0.08235294117647059,4.9093333333333335,152,0.5469563597310015,5,1,1
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,249,44.84,31.989999999999995,0.41637381231289855,0.5140562248995983,0.927536231884058,-2.519999999999996,69.147,8850.816,0.5140562248995983,0.5955813953488373,10,0.8011301974883492,5,1,1
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,335,17.59,16.569999999999997,0.4850702576112412,0.28955223880597014,0.27019498607242337,-2.3900000000000006,30.743999999999996,2982.1679999999997,0.28955223880597014,0.34857142857142853,262,1.0778257677052088,5,1,1
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,382,66.56,31.429999999999993,0.3207470150015307,0.8167539267015707,0.8210526315789474,-2.1000000000000085,93.09049999999999,29044.235999999997,0.8167539267015707,0.3130670926517572,68,1.2290431142190739,5,1,1
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,327,10.72,10.019999999999998,0.4831243972999035,0.5351681957186545,0.9562841530054644,3.0799999999999983,18.666,3266.55,0.5351681957186545,0.11784090909090908,8,1.0520866448943382,5,1,1
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14,24.85,0.41423570595099185,0.1407035175879397,0.25925925925925924,-1.2199999999999989,59.99,1679.72,0.1407035175879397,2.0686206896551727,80,0.6402606799204076,5,1,1
